politician_id,job_title,job_title_extra,organization,income_level,income,interval,created,category,topics
123532,Rechtsanwalt - Mandant 35395,Einkommen im Jahr 2025,Komning Rechtsanwälte,1,3084.96,,1769690221,29647,Recht
123532,Rechtsanwalt - Mandant 35352,Einkommen im Jahr 2025,Komning Rechtsanwälte,1,1299.09,,1769690221,29647,Recht
123532,"Rechtsanwalt - Mandant 35266, Privatbereich",Einkommen im Jahr 2025,Komning Rechtsanwälte,1,1470.36,,1769690221,29647,Recht
123532,Rechtsanwalt - Mandant 35188,Einkommen im Jahr 2025,Komning Rechtsanwälte,2,5865.85,,1769690221,29647,Recht
123532,Rechtsanwalt - Mandant 35072,Einkommen im Jahr 2025,Komning Rechtsanwälte,2,5462.77,,1769690221,29647,Recht
123532,"Rechtsanwalt - Mandant 35048, Privatbereich",Einkommen im Jahr 2025,Komning Rechtsanwälte,1,1076.95,,1769690221,29647,Recht
123532,Rechtsanwalt - Mandant 35010,Einkommen im Jahr 2025,Komning Rechtsanwälte,4,21913.26,,1769690221,29647,Recht
123532,"Rechtsanwalt - Mandant 34987, Privatbereich",Einkommen im Jahr 2025,Komning Rechtsanwälte,1,1265.35,,1769690221,29647,Recht
123532,"Rechtsanwalt - Mandant 34966, Privatbereich",Einkommen im Jahr 2025,Komning Rechtsanwälte,1,3020.34,,1769690221,29647,Recht
123532,Rechtsanwalt - Mandant 34857,Einkommen im Jahr 2025,Komning Rechtsanwälte,1,1824.66,,1769690221,29647,Recht
123532,"Rechtsanwalt - Mandant 34728, Baugewerbe",Einkommen im Jahr 2025,Komning Rechtsanwälte,1,1501.19,,1769690221,29647,Recht
123532,"Rechtsanwalt - Mandant 34445, Privatbereich",Einkommen im Jahr 2025,Komning Rechtsanwälte,1,1166.2,,1769690221,29647,Recht
123532,Rechtsanwalt - Mandant 34432,Einkommen im Jahr 2025,Komning Rechtsanwälte,2,4944.19,,1769690221,29647,Recht
123532,"Rechtsanwalt - Mandant 34094, Privatbereich",Einkommen im Jahr 2025,Komning Rechtsanwälte,2,4092.17,,1769690221,29647,Recht
123532,"Rechtsanwalt - Mandant 33911, Privatbereich",Einkommen im Jahr 2025,Komning Rechtsanwälte,1,1384.57,,1769690221,29647,Recht
123532,"Rechtsanwalt - Mandant 33708, Baugewerbe",Einkommen im Jahr 2025,Komning Rechtsanwälte,1,2950.5,,1769690221,29647,Recht
123532,Rechtsanwalt - Mandant 33228,Einkommen im Jahr 2025,Komning Rechtsanwälte,1,2191.59,,1769690221,29647,Recht
