fraktion,wort,tfidf,rang
AfD,bürger,0.000365,1
AfD,million,0.000364,2
AfD,prozent,0.000363,3
AfD,politik,0.000297,4
AfD,grüne,0.000262,5
AfD,wert,0.000245,6
AfD,windindustrieanlage,0.000218,7
AfD,national,0.000189,8
AfD,bündnis,0.000178,9
AfD,völlig,0.000177,10
AfD,ampel,0.000176,11
AfD,altpartei,0.000168,12
AfD,unternehmen,0.000159,13
AfD,kernenergie,0.000159,14
AfD,staat,0.000158,15
AfD,drei,0.000154,16
AfD,gesetzentwurf,0.000151,17
AfD,masseneinwanderung,0.000143,18
AfD,grün,0.000139,19
AfD,europäisch,0.000138,20
AfD,hause,0.000136,21
AfD,merkel,0.000134,22
AfD,davon,0.000133,23
AfD,einzig,0.000115,24
AfD,monat,0.000111,25
AfD,stell,0.000111,26
AfD,hören,0.00011,27
AfD,ökosozialistisch,0.000107,28
AfD,stellen,0.000106,29
AfD,lang,0.000106,30
AfD,seite,0.000105,31
AfD,klein,0.000104,32
AfD,setzen,0.000104,33
AfD,zukünftig,0.000103,34
AfD,woche,0.000103,35
AfD,mittlerweile,9.9e-05,36
AfD,sicherheit,9.9e-05,37
AfD,förderung,9.7e-05,38
AfD,russland,9.7e-05,39
AfD,europa,9.6e-05,40
AfD,kurz,9.6e-05,41
AfD,wegen,9.6e-05,42
AfD,insbesondere,9.5e-05,43
AfD,bundeswehr,9.4e-05,44
AfD,artikel,9.4e-05,45
AfD,daran,9.3e-05,46
AfD,erhalten,9.2e-05,47
AfD,neuen,9.2e-05,48
AfD,öffentlich,9.2e-05,49
AfD,deren,9.1e-05,50
AfD,übrigens,8.9e-05,51
AfD,demokratie,8.8e-05,52
AfD,fall,8.8e-05,53
AfD,minister,8.7e-05,54
AfD,knapp,8.7e-05,55
AfD,massiv,8.6e-05,56
AfD,inzwischen,8.6e-05,57
AfD,alternative,8.5e-05,58
AfD,beide,8.3e-05,59
AfD,international,8.3e-05,60
AfD,zitat,8.2e-05,61
AfD,dringend,8.1e-05,62
AfD,illegal,8.1e-05,63
AfD,frei,8e-05,64
AfD,stimmen,7.9e-05,65
AfD,energie,7.9e-05,66
AfD,zweiter,7.9e-05,67
AfD,opfer,7.9e-05,68
AfD,leute,7.9e-05,69
AfD,freiheit,7.9e-05,70
AfD,soldat,7.8e-05,71
AfD,kernkraft,7.8e-05,72
AfD,fallen,7.6e-05,73
AfD,schreiben,7.6e-05,74
AfD,volk,7.6e-05,75
AfD,genauso,7.5e-05,76
AfD,staatlich,7.5e-05,77
AfD,strom,7.5e-05,78
AfD,steuer,7.4e-05,79
AfD,entsprechend,7.3e-05,80
AfD,wenig,7.2e-05,81
AfD,russisch,7.2e-05,82
AfD,bevölkerung,7.1e-05,83
AfD,gegenüber,7e-05,84
AfD,anders,6.9e-05,85
AfD,zahl,6.8e-05,86
AfD,wahl,6.8e-05,87
AfD,region,6.8e-05,88
AfD,haus,6.8e-05,89
AfD,ziel,6.7e-05,90
AfD,ding,6.6e-05,91
AfD,schlecht,6.6e-05,92
AfD,polen,6.5e-05,93
AfD,weder,6.5e-05,94
AfD,hellbraun,6.5e-05,95
AfD,klimahysterie,6.5e-05,96
AfD,habeck,6.5e-05,97
AfD,niemand,6.4e-05,98
AfD,besonders,6.4e-05,99
AfD,steuerzahler,6.4e-05,100
BSW,politik,0.000364,1
BSW,kriegskredite,0.00034,2
BSW,prozent,0.000328,3
BSW,bündnis,0.000328,4
BSW,ampel,0.000313,5
BSW,russland,0.000298,6
BSW,aufrüstungsprogramm,0.000279,7
BSW,nettomigrationsraen,0.000272,8
BSW,militäroffensiven,0.000272,9
BSW,mentalitätsreform,0.000272,10
BSW,weaffenstoppen,0.000272,11
BSW,vertragswerke,0.000272,12
BSW,aufnahmerecht,0.000272,13
BSW,konfrontationspolitik,0.000272,14
BSW,rousseau,0.000272,15
BSW,medikalisierung,0.000272,16
BSW,neuauszählung,0.000272,17
BSW,sahra,0.000262,18
BSW,wagenknechen,0.000233,19
BSW,waffen,0.000218,20
BSW,million,0.000218,21
BSW,bürger,0.000218,22
BSW,drei,0.000204,23
BSW,netanjahus,0.000204,24
BSW,kriegseintritt,0.000204,25
BSW,stahlstandoren,0.000204,26
BSW,klein,0.000197,27
BSW,verehren,0.000189,28
BSW,wenig,0.000189,29
BSW,hochsicherheitsgefängnis,0.000186,30
BSW,lobbys,0.000186,31
