politician_id,name,party,x,y
78869,Ursula Groden-Kranich,CDU/CSU,0.51867545,0.47414395
175585,Johannes F. Kretschmann,BÜNDNIS 90/­DIE GRÜNEN,-4.4254875,-0.18523133
175520,Lucia Schanbacher,SPD,-4.402949,-0.2644102
79255,Uwe Kekeritz,BÜNDNIS 90/­DIE GRÜNEN,-0.8784592,2.5931609
175752,Julian Simon Grünke,FDP,-2.551261,-6.0786495
175942,Manfred Schiller,AfD,10.484073,-5.6719046
122121,Volker Münz,AfD,10.393025,-5.6067276
147459,Fabian Griewel,FDP,-2.624947,-6.5433636
78922,Ingo Wellenreuther,CDU/CSU,6.3094206,-4.058884
175432,Heike Heubach,SPD,-7.727206,-0.43882522
146135,Jörg Cezanne,Die Linke.,-5.9220743,5.4793324
180762,Angela Hohmann,SPD,-7.9174647,-0.27071136
145961,Franziska Krumwiede-Steiner,BÜNDNIS 90/­DIE GRÜNEN,-6.906662,-0.73935515
175589,Jürgen Kretz,BÜNDNIS 90/­DIE GRÜNEN,-7.0776954,-0.7313752
175477,Nadine Ruf,SPD,-7.8479033,-0.2282038
145886,Bettina Wiesmann,CDU/CSU,6.4036055,-5.1751685
145889,Astrid Mannes,CDU/CSU,6.694257,-5.3883862
79073,Martin Rabanus,SPD,-7.883405,-0.24400494
136239,Ottmar von Holtz,BÜNDNIS 90/­DIE GRÜNEN,-7.20187,-0.48056656
79254,Stefan Kaufmann,CDU/CSU,6.356513,-5.121912
79095,Ingrid Pahlmann,CDU/CSU,6.8177843,-5.378841
170200,Tim Wagner,FDP,-2.6185722,-5.5860577
118231,Christian Bartelt,FDP,-4.851413,-6.3518906
146323,Katharina Willkomm,FDP,-4.412837,-5.544027
175827,Alexander Föhr,CDU/CSU,7.2451506,-4.6153946
165158,Rainer Rothfuß,AfD,10.772474,6.226266
145860,Melanie Bernstein,CDU/CSU,7.1402993,-5.917369
175420,Dirk-Ulrich Mende,SPD,-4.901169,1.7188039
179603,Emily Vontz,SPD,-7.09604,1.4370111
175390,Alexander Bartz,SPD,-4.7497745,-0.3567437
146806,Daniel Rinkert,SPD,-8.864208,-2.0494015
158872,Nils Gründer,FDP,-6.596696,-5.7960334
147377,Michael Sacher,BÜNDNIS 90/­DIE GRÜNEN,-4.8584294,-0.7903611
79415,Daniela De Ridder,SPD,-9.021975,-1.8423346
175334,Clara Bünger,Die Linke.,-3.0816722,11.034172
175709,Claudia Raffelhüschen,FDP,-5.931168,-6.858379
78863,Jürgen Hardt,CDU/CSU,7.295291,-4.9208837
78936,Beate Walter-Rosenheimer,BÜNDNIS 90/­DIE GRÜNEN,-4.374416,-1.5060847
138540,Markus Uhl,CDU/CSU,7.2176924,-4.9485755
79011,Nadine Schön,CDU/CSU,7.3509727,-4.8142076
