politician_id,name,party,x,y
146003,Misbah Khan,BÜNDNIS 90/­DIE GRÜNEN,8.476281,5.959306
179277,Rocco Kever,AfD,-10.432999,6.7371607
147331,Stefan Keuter,AfD,-10.231643,6.6454115
146793,Franziska Kersten,SPD,0.3902647,-6.371394
177565,Martina Kempf,AfD,-10.57702,7.6701674
79480,Ronja Kemmer,CDU/CSU,0.5418798,-6.3024764
175629,Michael Kellner,BÜNDNIS 90/­DIE GRÜNEN,8.767874,5.8609614
121837,Michael Kaufmann,AfD,-10.702998,7.6927543
145844,Malte Kaufmann,AfD,-10.024411,6.889219
79249,Anja Karliczek,CDU/CSU,0.34723124,-6.313187
121602,Macit Karaahmetoğlu,SPD,0.34202063,-6.352583
73426,Kirsten Kappert-Gonther,BÜNDNIS 90/­DIE GRÜNEN,8.618617,5.952878
182859,Nicklas Kappe,CDU/CSU,0.31378242,-6.1158166
118997,Maren Kaminski,Die Linke,10.956103,10.015711
146830,Elisabeth Kaiser,SPD,0.47176963,-6.2635355
175603,Lamya Kaddor,BÜNDNIS 90/­DIE GRÜNEN,8.650778,5.823544
78859,Oliver Kaczmarek,SPD,0.41130576,-6.3713655
183496,Robin Jünger,AfD,-10.861895,5.145897
79268,Frank Junge,SPD,0.36569047,-6.3346415
78867,Andreas Jung,CDU/CSU,0.34751904,-6.1782656
175588,Julian Joswig,BÜNDNIS 90/­DIE GRÜNEN,8.207075,5.8353906
182837,Alexander Jordan,CDU/CSU,0.36367095,-6.2490196
79277,Thomas Jarzombek,CDU/CSU,0.4064628,-6.3408027
175830,Anne Janssen,CDU/CSU,0.35097468,-6.3834677
175967,Steffen Janich,AfD,-9.940387,6.2979274
147218,Fabian Jacobi,AfD,-10.352549,6.689589
183177,Cem Ince,Die Linke,11.024916,9.972266
145791,Nicole Höchst,AfD,-12.181119,5.2390914
175922,Gerrit Huy,AfD,-9.116129,3.7756095
175512,Verena Hubertz,SPD,0.06878781,-6.371021
183224,Luke Hoß,Die Linke,10.976767,10.0506315
146856,Jasmina Hostert,SPD,0.17445335,-5.9751554
29094,Michael Hose,CDU/CSU,0.37874705,-6.257151
175851,Franziska Hoppermann,CDU/CSU,0.38879067,-6.318097
79293,Hendrik Hoppenstedt,CDU/CSU,0.3658194,-6.424074
123559,Leif-Erik Holm,AfD,-10.320255,6.7325377
79294,Anton Hofreiter,BÜNDNIS 90/­DIE GRÜNEN,8.453688,5.862573
138330,Philip Hoffmann,CDU/CSU,0.31504017,-6.329034
79295,Alexander Hoffmann,CDU/CSU,0.3062468,-6.392397
78865,Christian Hirte,CDU/CSU,0.34558046,-6.5562563
145754,Karsten Hilse,AfD,-11.071695,7.976341
184316,Olaf Hilmer,AfD,-10.794194,6.7923684
182897,Matthias Hiller,CDU/CSU,0.39571416,-6.4792666
142212,Susanne Hierl,CDU/CSU,0.40332115,-6.479151
79307,Ansgar Heveling,CDU/CSU,0.37479714,-6.357968
183031,Moritz Heuberger,BÜNDNIS 90/­DIE GRÜNEN,9.810081,5.8842797
175432,Heike Heubach,SPD,0.39589053,-6.461438
179923,Nicole Hess,AfD,-10.881685,6.809124
145840,Martin Hess,AfD,-11.134031,4.207598
175476,Nadine Heselhaus,SPD,0.37417322,-6.446005
183279,Mareike Hermeier,Die Linke,13.439603,8.472589
182885,Diana Herbstreuth,CDU/CSU,0.42643917,-6.6149592
149381,Stefan Henze,AfD,-10.651465,6.750353
145874,Marc Henrichmann,CDU/CSU,0.4046196,-6.4589095
145749,Udo Hemmelgarn,AfD,-8.237576,8.231117
79299,Mark Helfrich,CDU/CSU,0.39402586,-6.5713944
145751,Matthias Helferich,AfD,-10.98012,4.331415
66491,Linda Heitmann,BÜNDNIS 90/­DIE GRÜNEN,9.004189,6.010413
79320,Gabriela Heinrich,SPD,0.40541175,-6.6631103
136025,Frauke Heiligenstadt,SPD,0.41470295,-6.5766664
79316,Hubertus Heil,SPD,0.10847974,-5.9731474
79317,Mechthild Heil,CDU/CSU,0.37129956,-6.5881467
79325,Britta Haßelmann,BÜNDNIS 90/­DIE GRÜNEN,9.017359,5.9343348
147226,Jochen Haug,AfD,-10.504862,7.083352
79322,Matthias Hauer,CDU/CSU,0.33678952,-6.3931584
79326,Sebastian Hartmann,SPD,0.37155867,-6.60612
78863,Jürgen Hardt,CDU/CSU,0.24612841,-6.4511647
145714,Mirco Hanker,AfD,-10.897335,6.87573
79327,Metin Hakverdi,SPD,0.42531562,-6.473988
132357,Lars Haise,AfD,-10.640663,6.766906
182892,Heiko Hain,CDU/CSU,0.37833238,-6.5649886
158590,Ingo Hahn,AfD,-10.578128,6.789367
79329,Florian Hahn,CDU/CSU,0.39117026,-6.5923743
79333,Bettina Hagedorn,SPD,0.37891257,-6.4475303
79332,Christian Haase,CDU/CSU,0.376545,-6.6398168
141210,Ates Gürpinar,Die Linke,11.2204895,10.193054
79335,Fritz Güntzler,CDU/CSU,0.23251027,-6.6699533
175852,Georg Günther,CDU/CSU,0.34086043,-6.5383797
130691,Serap Güler,CDU/CSU,0.22362608,-6.5491023
132869,Christian Görke,Die Linke,11.185183,10.226155
78886,Katrin Göring-Eckardt,BÜNDNIS 90/­DIE GRÜNEN,8.900471,5.336326
79334,Gregor Gysi,Die Linke,12.769678,8.056243
79336,Olav Gutting,CDU/CSU,0.40144217,-6.545382
175683,Lena Gumnior,BÜNDNIS 90/­DIE GRÜNEN,8.867965,5.9975038
28896,Inge Gräßle,CDU/CSU,0.37732002,-6.469254
158593,Rainer Gross,AfD,-10.7520485,6.8415475
123558,Christoph Grimm,AfD,-9.070225,1.5172397
79349,Kerstin Griese,SPD,0.33195448,-6.463622
182883,David Gregosz,CDU/CSU,0.34349585,-6.5323
175537,Armin Grau,BÜNDNIS 90/­DIE GRÜNEN,8.932511,5.9823537
123289,Adrian Grasse,CDU/CSU,0.3855418,-6.5981708
108738,Fabian Gramling,CDU/CSU,0.36765814,-6.4149284
174123,Hans-Jürgen Goßner,AfD,-10.718799,6.765521
66285,Kay Gottschalk,AfD,-11.037216,7.4124236
79353,Nicole Gohlke,Die Linke,12.945458,8.115192
175923,Hannes Gnauck,AfD,-11.06797,7.4744873
79481,Angelika Glöckner,SPD,0.3814811,-6.5378838
123018,Ronald Gläser,AfD,-10.856337,7.399886
183252,Vinzenz Glaser,Die Linke,12.755015,7.4798574
147328,Jan-Niclas Gesenhues,BÜNDNIS 90/­DIE GRÜNEN,6.4943995,2.5592926
79356,Martin Gerster,SPD,0.24571368,-6.5223794
122857,Katalin Gennburg,Die Linke,10.783323,10.234552
125186,Jonas Geissler,CDU/CSU,0.4175375,-6.543124
