politician_id,name,party,occupation,year_of_birth,field_title,sex,education,x,y
79329,Florian Hahn,CDU/CSU,MdB,1974.0,,m,Electronic Marketing Fachwirt,7.1609535,0.3473198
79333,Bettina Hagedorn,SPD,MdB,1955.0,,f,Ausgebildete Goldschmiedin,7.255082,0.3346637
79332,Christian Haase,CDU/CSU,MdB,1966.0,,m,Dipl. Verwaltungswirt (FH),7.256388,0.3102518
141210,Ates Gürpinar,Die Linke,Angestellter,1984.0,,m,Medienwissenschaftler,-7.9748645,9.172591
79335,Fritz Güntzler,CDU/CSU,MdB,1966.0,,m,Studium der BWL und Wirtschaftsprüfer,7.247403,0.22611952
175852,Georg Günther,CDU/CSU,Betriebsprüfer,1988.0,,m,Diplom-Finanzwirt (FH),7.2317877,0.30995238
130691,Serap Güler,CDU/CSU,MdB,1980.0,,f,Studium Germanistik und Kommunikation,7.2439995,0.19562538
132869,Christian Görke,Die Linke,Bundestagsabgeordneter,1962.0,,m,Lehrer,-7.384541,8.67564
78886,Katrin Göring-Eckardt,BÜNDNIS 90/­DIE GRÜNEN,MdB,1966.0,,f,,-2.6782079,7.8139725
79334,Gregor Gysi,Die Linke,MdB,1948.0,,m,Rechtsanwalt,-7.180625,8.891174
79336,Olav Gutting,CDU/CSU,MdB,1970.0,,m,Rechtsanwalt,7.2883377,0.3027546
175683,Lena Gumnior,BÜNDNIS 90/­DIE GRÜNEN,Anwältin,1992.0,Dr.,f,Volljuristin,-3.1088202,7.80544
28896,Inge Gräßle,CDU/CSU,MdB,1961.0,Dr.,f,"Studium der Romanischen Sprachen, Geschichte und Politikwissenschaft",7.264401,0.3409493
158593,Rainer Gross,AfD,Abteilungsdirektor/ Syndikusrechtsanwalt,1960.0,,m,Rechtsanwalt; Certified Estate Planner,-3.9739618,-8.720998
123558,Christoph Grimm,AfD,Rechtsanwalt,1957.0,,m,Volljurist,-2.6788733,-7.027828
79349,Kerstin Griese,SPD,"MdB, Parlamentarische Staatssekretärin",1966.0,,f,Historikerin,7.268315,0.31254286
