mandate_id,politician_id
68679,145845
68678,145841
68677,29490
68676,175467
68675,79227
68674,122755
68673,79226
68672,149682
68671,184318
68670,79223
68669,165152
68668,145830
68667,122834
68666,31221
68665,175003
68664,182878
68663,175543
68662,79237
68661,123532
68660,141591
68659,79234
68658,108585
68657,79239
68656,184317
68655,177535
68654,175503
68653,110066
68652,175401
68651,79241
68650,178160
68649,175877
68648,175433
68647,79242
68646,145902
68645,79246
68644,146003
68643,179277
68642,147331
68641,146793
68640,177565
68639,79480
68638,175629
68637,121837
68636,145844
68635,79249
68634,121602
68633,73426
68632,182859
68631,118997
68630,146830
68629,175603
68628,78859
68627,183496
68626,79268
68625,78867
68624,175588
68623,182837
68622,79277
68621,175830
68620,175967
68619,147218
68618,183177
68617,145791
68616,175922
68615,175512
68614,183224
68613,146856
68612,29094
68611,175851
68610,79293
68609,123559
68608,79294
68607,138330
68606,79295
68605,78865
68604,145754
68603,184316
68602,182897
68601,142212
68600,79307
68599,183031
68598,175432
68597,179923
68596,145840
68595,175476
68594,183279
68593,182885
68592,149381
68591,145874
68590,145749
68589,79299
68588,145751
68587,66491
68586,79320
68585,136025
68584,79316
68583,79317
68582,79325
68581,147226
68580,79322
68579,79326
68578,78863
68577,145714
68576,79327
68575,132357
68574,182892
68573,158590
68572,79329
68571,79333
68569,79332
68568,141210
68567,79335
68566,175852
68565,130691
68564,132869
68563,78886
68562,79334
68561,79336
68560,175683
68559,28896
68558,158593
68557,123558
68556,79349
68555,182883
68554,175537
68553,123289
68552,108738
68551,174123
68550,66285
68549,79353
68548,175923
68547,79481
68546,123018
68545,183252
68544,147328
68543,79356
68542,122857
68541,125186
68540,79366
68539,175891
68538,183283
68537,31216
68536,79364
68535,175645
68534,183508
68533,182110
68532,79389
68531,150288
68530,108761
68529,79370
68528,79378
68527,182826
68525,183125
68524,175925
68523,175491
68522,184038
68521,177546
68520,183497
68519,145833
68518,79391
68517,183487
68516,79390
68515,183267
68514,135391
68513,147569
68512,79387
68511,146813
68510,182825
68509,145903
68508,175872
68507,175826
68506,146042
68505,182015
68504,175496
68503,175864
68502,175308
68501,175880
68500,175610
68499,79405
68498,175859
68497,183515
68496,175555
68495,182893
68494,175425
68493,183012
68492,79404
68491,181945
68490,79403
68489,175424
68488,179922
68487,182894
68486,79397
68485,79412
68484,79411
68483,183145
68482,146823
68481,31274
68480,175438
68479,29534
68478,110038
68477,175431
68476,119861
68475,182902
68474,141110
68473,121492
68472,183230
68471,79418
68470,145755
68469,146135
68468,79416
68467,182819
68466,175436
68465,175334
68464,150299
68463,182866
68462,175138
68461,120205
68460,79468
68459,175892
68458,179348
68457,175870
68456,78878
68455,184131
68454,175676
68453,145870
68452,182830
68451,79434
68450,183172
68449,145863
68448,79429
68447,32337
68446,79427
68445,175915
68444,78881
68443,170159
68442,179823
68441,184315
68440,182852
68439,165049
68438,182942
68437,147321
68436,130612
68435,145817
68434,182817
68433,159437
68432,168306
68431,174144
68430,175933
68429,145789
68428,175437
68427,165159
68426,175849
68425,79444
68424,145893
68423,79446
68422,146046
68421,182947
68420,31218
68419,145860
68418,108754
68417,130480
68416,178435
68415,178606
68414,180058
68413,177567
68412,175596
68411,182891
68410,66273
68409,29476
68408,183247
68407,79455
68406,79454
68405,78884
68404,79465
68403,145959
68402,183520
68401,175416
68399,120254
68398,175907
68397,165055
68396,120442
68395,78810
68394,175526
68393,182861
68392,183082
68391,108373
68390,183266
68389,139271
68388,145862
68387,145885
68386,183004
68385,79476
68384,175486
68383,135459
68382,78952
68381,108563
68380,175389
68379,182845
68378,146180
68377,29084
68376,175489
