mandate_id,politician_id
69047,184332
69045,183275
69043,182187
69042,182836
69014,79014
69006,175896
69005,79097
69004,78834
69003,66563
69002,175403
69001,178590
69000,182827
68999,183503
68998,175876
68997,175914
68996,78902
68995,145878
68994,145732
68993,78904
68992,183257
68991,178558
68990,178644
68989,130692
68988,149653
68987,66277
68986,135302
68985,133683
68984,150296
68983,146013
68982,142259
68981,78916
68980,182855
68979,78914
68978,182209
68977,78913
68976,175862
68975,145806
68974,175895
68973,78817
68972,175968
68971,175867
68970,175015
68969,78919
68968,175947
68967,108379
68966,175409
68965,78805
68964,165836
68963,175464
68962,182890
68961,175309
68960,175584
68959,175410
68958,145969
68957,146020
68956,78818
68955,78938
68954,146784
68953,66002
68952,183219
68951,182876
68950,170273
68949,145876
68948,182935
68947,145877
68946,78944
68945,31073
68944,183231
68943,183483
68942,175599
68941,175419
68940,136824
68939,78821
68938,175394
68937,180245
68936,175351
68935,78958
68934,108605
68933,178690
68932,78960
68931,158687
68930,138346
68929,181949
68928,175538
68927,158594
68926,182828
68925,175488
68924,177578
68923,182851
68922,175953
68921,182862
68920,78976
68919,29202
68918,78979
68917,78939
68916,175972
68915,164996
68914,78797
68913,182839
68912,183064
68911,139062
68910,78981
68909,78988
68908,66475
68907,183211
68906,145898
68905,78996
68904,145723
68903,78993
68902,78992
68901,164992
68900,145888
68899,78831
68898,145823
68897,175519
68896,182873
68895,183482
68894,78825
68893,176316
68892,175370
68891,158733
68890,175522
68889,175649
68888,175580
68887,180854
68886,79001
68885,79000
68884,78999
68883,78998
68882,131019
68881,145770
68880,182848
68879,175905
68878,170151
68877,183529
68876,121738
68875,108783
68874,29441
68873,66924
68871,78836
68870,176576
68868,140944
68867,121977
68866,182821
68865,108815
68864,145768
68863,152755
68862,66004
68861,79036
68860,108960
68859,141311
68858,175286
68857,175942
68856,180235
68855,168672
68854,123546
68853,175017
68852,170325
68851,175956
68850,79023
68849,79021
68848,175904
68847,182856
68846,175836
68845,184320
68844,175594
68843,79032
68842,79051
68841,79046
68840,73300
68839,79043
68838,79047
68837,145843
68836,182913
68835,183489
68834,175502
68833,145872
68832,182949
68831,165158
68830,182900
68829,79041
68828,146839
68827,30936
68826,79066
68825,146806
68824,183055
68823,181741
68822,121673
68821,180856
68820,146043
68819,149570
68818,175869
68817,182905
68816,150298
68815,175940
68814,130301
68813,182879
68812,183533
68811,182324
68810,31607
68809,79067
68808,79069
68807,79070
68806,79071
68805,79073
68804,179282
68803,182865
68802,183481
68801,121997
68800,182896
68799,79077
68798,136013
68797,178149
68796,175871
68795,66005
68794,149389
68793,145901
68792,31707
68791,122063
68790,146117
68789,175443
68788,146824
68787,79090
68786,182877
68785,184319
68784,145700
68783,175374
68782,136381
68781,79108
68780,145808
68779,175593
68777,145890
68776,146867
68775,182887
68774,175848
68773,79106
68772,79103
68771,78819
68770,145764
68769,110154
68768,121794
68767,184031
68766,175916
68765,175484
68764,175643
68763,130574
68762,78838
68761,145795
68760,145867
68759,146018
68758,175894
68757,121017
68756,79116
68755,145896
68754,97972
68753,146780
68752,182888
68751,176762
68750,146801
68749,158609
68748,108876
68747,166077
68746,145984
68745,79129
68744,175471
68743,79133
68742,79132
68741,168396
68740,145921
68739,183528
68738,78847
68737,118559
68736,183186
68735,79135
68734,117904
68733,145703
68732,183154
68731,175888
68730,175679
68729,79134
68728,180259
68727,145741
68726,79141
68725,79140
68724,121799
68723,174133
68722,30917
68721,146837
68720,175863
68719,110102
68718,123031
68717,118131
68716,175406
68715,30789
68714,79146
68713,79147
68712,175624
68711,145742
68710,175557
68709,79150
68708,79149
68707,79192
68706,146804
68705,136080
68704,138463
68703,79194
68702,175959
68701,183114
68700,79199
68699,175323
68698,145948
68697,118790
68696,79205
68695,79215
68694,78812
68693,122336
68692,130072
68691,79214
68690,164990
68689,159482
68688,168310
68687,183522
68686,178656
68685,165168
68684,79238
68683,121468
68682,175831
68681,182820
68680,184033
