id,dokumentnummer,sitzungsnummer,titel,datum,sitzungsbemerkung,pdf_url,xml_url,vorgangsbezug_anzahl,pdf_hash,aktualisiert
5515,20/56,56,Protokoll der 56. Sitzung des 20. Deutschen Bundestages,2022-09-28,,https://dserver.bundestag.de/btp/20/20056.pdf,https://dserver.bundestag.de/btp/20/20056.xml,57,5a1ea8c0df905e608dc5a36e2fb409b0,2022-09-29T16:38:53+02:00
5516,20/57,57,Protokoll der 57. Sitzung des 20. Deutschen Bundestages,2022-09-29,,https://dserver.bundestag.de/btp/20/20057.pdf,https://dserver.bundestag.de/btp/20/20057.xml,58,b1d9cf6193e0ac82b62a0f0da5a4dbd5,2022-10-10T14:43:54+02:00
5517,20/58,58,Protokoll der 58. Sitzung des 20. Deutschen Bundestages,2022-09-30,,https://dserver.bundestag.de/btp/20/20058.pdf,https://dserver.bundestag.de/btp/20/20058.xml,27,aa1b947340fc9d03020cd87da5f92fdd,2025-07-08T13:28:55+02:00
5519,20/59,59,Protokoll der 59. Sitzung des 20. Deutschen Bundestages,2022-10-12,,https://dserver.bundestag.de/btp/20/20059.pdf,https://dserver.bundestag.de/btp/20/20059.xml,65,bbe165b2c49bc68103ae4dab43d37386,2022-11-24T09:49:53+01:00
5520,20/60,60,Protokoll der 60. Sitzung des 20. Deutschen Bundestages,2022-10-13,,https://dserver.bundestag.de/btp/20/20060.pdf,https://dserver.bundestag.de/btp/20/20060.xml,59,e34691559b6fe64aa859ad3b92d5e111,2022-10-18T16:34:41+02:00
5521,20/61,61,Protokoll der 61. Sitzung des 20. Deutschen Bundestages,2022-10-14,,https://dserver.bundestag.de/btp/20/20061.pdf,https://dserver.bundestag.de/btp/20/20061.xml,31,87864d5f1edb41c7d7efd8c3c04bb827,2022-10-19T10:06:50+02:00
5522,20/62,62,Protokoll der 62. Sitzung des 20. Deutschen Bundestages,2022-10-19,,https://dserver.bundestag.de/btp/20/20062.pdf,https://dserver.bundestag.de/btp/20/20062.xml,63,9ae5ca9bbb8b33928009c81bfa5b9148,2022-10-21T13:08:07+02:00
5523,20/63,63,Protokoll der 63. Sitzung des 20. Deutschen Bundestages,2022-10-20,,https://dserver.bundestag.de/btp/20/20063.pdf,https://dserver.bundestag.de/btp/20/20063.xml,64,71947022d4a7caa2de1104f6d4ea7522,2022-10-31T11:10:19+01:00
5524,20/64,64,Protokoll der 64. Sitzung des 20. Deutschen Bundestages,2022-10-21,,https://dserver.bundestag.de/btp/20/20064.pdf,https://dserver.bundestag.de/btp/20/20064.xml,28,b4bf2675ed252b56e97ef6836c314bc0,2022-11-24T09:50:00+01:00
5526,20/65,65,Protokoll der 65. Sitzung des 20. Deutschen Bundestages,2022-11-09,,https://dserver.bundestag.de/btp/20/20065.pdf,https://dserver.bundestag.de/btp/20/20065.xml,72,f2cabd6f47605abe0a4e8f9f8b4da891,2023-04-06T11:54:31+02:00
